Open,High,Low,Close,Volume,SMA_5,SMA_10,SMA_15,SMA_20,EMA_5,EMA_10,EMA_15,EMA_20,RSI,CMO,CCI,MACD,9-period EMA of MACD,ROC,PPO,Slow Stoch %K,Slow Stoch %D,Fast %K,Fast %D,Chaikin A/D Oscillator,Upper Band,Middle Band (SMA),Lower Band,Highest High,lowest_low,William %R,Ibovespa: (Brasil)
36468.0,38554.0,36468.0,38402.0,1796200.0,37493.6,38366.6,39315.666666666664,39778.8,37723.61834730529,38320.24445765603,38757.40167822382,39029.47684509436,45.78876393962521,-8.422472120749575,-68.08117150590952,-694.876619864066,-289.70001183675777,0.44465369324127035,-1.784418250832509,17.840684082335855,11.294709942104136,42.47226624405705,17.840684082335855,-1043568.0389413616,43293.05602937502,39778.8,36264.54397062499,42032.0,35722.0,-57.52773375594295,85
38391.0,38391.0,36973.0,37369.0,1354600.0,37331.4,38118.8,39059.8,39659.9,37605.41223153686,38147.29091990039,38583.85146844584,38871.336193180614,41.66572213263248,-16.66855573473503,-69.40526959568932,-731.9362261310453,-378.1472546956153,-2.124148768988998,-2.58170175895309,26.633304247089857,17.61273138272826,26.916162771694722,26.633304247089857,-866208.6293028747,43327.96100821667,39659.9,35991.838991783334,41841.0,35722.0,-73.08383722830528,85
37367.0,38309.0,36476.0,37105.0,1481200.0,37115.8,37861.9,38810.4,39508.7,37438.608154357906,37957.7834799185,38398.99503489011,38703.11369859199,40.65810794978338,-18.683784100433236,-74.12225285733558,-773.6902056720573,-457.2558448909037,-2.8232459471492555,-3.4289279638453927,30.663387108317536,25.04579181258107,22.60173230920085,30.663387108317536,-862747.1152466713,43332.92771811516,39508.7,35684.47228188483,41841.0,35722.0,-77.39826769079916,85
37103.0,37464.0,36392.0,36741.0,1067400.0,37217.0,37563.0,38559.73333333333,39290.3,37206.07210290527,37736.550119933316,38191.745655528845,38516.245727297515,39.248743674973916,-21.502512650052168,-88.19616211127303,-826.6234921424038,-531.1293743412037,1.3964399061680677,-3.7572384117079776,22.056980988178893,26.451224114528745,16.65304788364112,22.056980988178893,-901388.8510547143,43221.427578697876,39290.3,35359.17242130213,41841.0,35722.0,-83.34695211635889,85
36745.0,38804.0,36745.0,38795.0,1788200.0,37682.4,37571.0,38367.8,39092.25,37735.71473527018,37928.99555267271,38267.15244858774,38542.79375326918,49.81927393534256,-0.3614521293148954,-6.654132991418751,-694.823377643188,-563.8681750016005,6.380936711637597,-3.864040259761832,29.833346177208494,27.51790475790163,50.24525833878352,29.833346177208494,-271253.6865356524,42689.987893454694,39092.25,35494.512106545306,41838.0,35722.0,-49.754741661216485,85
38795.0,39310.0,38238.0,38805.0,1401200.0,37763.0,37628.3,38165.4,38927.5,38092.14315684679,38088.269088550405,38334.38339251427,38567.76577676735,49.86501083056679,-0.2699783388664246,57.40131578947368,-582.8452437461528,-567.663588750511,1.04942450914014,-4.01333128717821,44.10899964063842,31.999775602008594,65.42869269949067,44.10899964063842,36973.61889227957,42250.50138429098,38927.5,35604.49861570902,40434.0,35722.0,-34.57130730050934,85
38806.0,39304.0,38286.0,39152.0,1631800.0,38119.6,37725.5,38119.066666666666,38824.75,38445.42877123119,38281.67470881397,38436.58546844999,38623.40713136094,51.51636074546019,3.032721490920386,78.174193683468,-460.7900648382638,-546.2888839680616,4.771334528619975,-3.9664023234327486,62.82742399641332,45.58992327142007,72.80832095096582,62.82742399641332,523865.773038825,41982.43332009399,38824.75,35667.06667990601,40433.0,35722.0,-27.191679049034175,85
39152.0,39707.0,38580.0,39015.0,1595200.0,38501.6,37808.7,38075.13333333333,38733.2,38635.28584748746,38415.0065799387,38508.88728489374,38660.70169027895,50.804853766458926,1.6097075329178552,106.97829502099961,-370.8403940148419,-511.19918597741764,5.147554237973329,-3.7318070819861453,73.50010539118803,60.14550967607991,82.26330252310767,73.50010539118803,559680.4405825412,41754.389672960126,38733.2,35712.01032703987,39725.0,35722.0,-17.73669747689233,85
39018.0,39713.0,38467.0,38607.0,1526800.0,38874.8,38045.9,38000.26666666667,38638.5,38625.85723165831,38449.9144744953,38521.151374282024,38655.587243585716,48.64988924811348,-2.700221503773036,89.61879110873454,-328.68791238378617,-474.69693125869134,5.0787948068914845,-3.4977530029861073,75.7864235600958,70.7046509825657,72.28764720621399,75.7864235600958,146820.39475967316,41548.805241723,38638.5,35728.194758277,39713.0,35722.0,-27.71235279378602,85
38608.0,39511.0,38080.0,39511.0,1456800.0,39018.0,38350.2,38053.333333333336,38530.35,38920.90482110554,38642.83911549616,38644.88245249677,38737.05512514898,53.36941867809152,6.738837356183044,88.7446042842655,-219.8027725032298,-423.71809950759905,1.8455986596210838,-3.0643433484588285,83.16318720201474,77.48323871776617,94.93861187672263,83.16318720201474,428103.0673994387,41125.054243261766,38530.35,35935.64575673823,39713.0,35722.0,-5.061388123277374,85
39508.0,40551.0,38850.0,40142.0,1731800.0,39285.4,38524.2,38180.666666666664,38445.4,39327.9365474037,38915.41382176958,38832.02214593467,38870.85939894432,56.38284294429283,12.765685888585676,136.849802052193,-81.65284498993424,-355.3050486040661,3.445432289653394,-1.9829046047316758,86.25219887564718,81.73393654591922,91.53033754400496,86.25219887564718,790296.579241384,40688.39499776515,38445.4,36202.40500223485,40551.0,35722.0,-8.46966245599503,85
40146.0,41137.0,40146.0,40453.0,1902800.0,39545.6,38832.6,38332.2,38475.7,39702.95769826913,39194.9749450842,39034.644377692835,39021.53945618772,57.829333587874686,15.658667175749388,149.70368461736618,52.323911266808864,-273.7792566298911,3.322946465059262,-0.9736269363717834,91.2791234911197,86.89816985626054,87.36842105263158,91.2791234911197,636299.0979122347,40808.19849732014,38475.7,36143.201502679854,41137.0,35722.0,-12.631578947368421,85
40453.0,41053.0,40076.0,40076.0,1394200.0,39757.8,39129.7,38458.4,38495.8,39827.30513217942,39355.16131870526,39164.81383048123,39121.96426988413,55.42958605626597,10.859172112531917,120.07276750100212,126.62109737944411,-193.69918582802404,2.719466871716003,-0.5056201376517181,86.4350124838896,87.98877828355215,80.40627885503233,86.4350124838896,71845.66483101598,40875.70349384159,38495.8,36115.89650615842,41137.0,35722.0,-19.593721144967684,85
40077.0,42509.0,40077.0,42439.0,1883400.0,40524.2,39699.5,38872.0,38631.25,40697.87008811961,39915.85926075884,39574.08710167107,39437.87243465707,65.18228269629277,30.36456539258554,180.78388123675163,371.88959251180495,-80.58143016005823,9.925661149532461,0.4196804384717975,88.87678270040759,88.86363955847229,98.85564819355893,88.87678270040759,399168.0247102815,41528.77811030361,38631.25,35733.72188969639,42509.0,36392.0,-1.1443518064410658,85
42439.0,42439.0,41476.0,41476.0,1826200.0,40917.2,39967.6,39205.86666666667,38769.3,40957.246725413075,40199.52121334815,39811.82621396219,39631.97982183258,59.47103742640253,18.942074852805067,146.28187016481644,482.9929480427236,32.13344548049815,4.973298575080354,1.254736361785751,87.4581879873703,87.58999439055582,83.1126369135197,87.4581879873703,-84279.0121309536,41921.53026443174,38769.3,35617.069735568264,42509.0,36392.0,-16.8873630864803,85
41478.0,42623.0,41114.0,41799.0,1956400.0,41248.6,40267.0,39432.333333333336,38947.65,41237.831150275386,40490.33553819394,40060.22293721692,39838.36269594376,60.71439379580714,21.42878759161428,120.04240351973704,590.3019251903897,143.76714142247647,4.127846146181047,2.319880589031185,89.58136117809909,88.63877728862565,86.77579842721875,89.58136117809909,-331731.18842861,42351.67686681522,38947.65,35543.62313318478,42623.0,36392.0,-13.224201572781254,85
41801.0,42680.0,41801.0,42589.0,1640400.0,41675.8,40610.7,39780.333333333336,39168.1,41688.22076685026,40871.91089488595,40376.3200700648,40100.328153472925,63.651538992269174,27.303077984538355,123.13482702412601,730.6687656885333,261.14746627568786,5.280201715571153,3.052384040455638,89.48041144097554,88.83998686881496,98.55279898218829,89.48041144097554,11070.593687779445,42899.994258952174,39168.1,35436.20574104782,42680.0,36392.0,-1.4472010178117047,85
42589.0,42589.0,41586.0,41907.0,1342000.0,42042.0,40899.9,40100.46666666667,39354.3,41761.14717790017,41060.108913997596,40567.6550613067,40272.392138856456,59.51479303091247,19.029586061824947,92.72596772596768,777.9115180367735,364.500276627905,4.568819243437461,3.503268614761061,90.76805535663186,89.94327599190215,86.97556866048862,90.76805535663186,-3384.6734097026056,43239.47480173014,39354.3,35469.12519826987,42680.0,36745.0,-13.024431339511374,85
41909.0,41909.0,40351.0,40653.0,1508600.0,41684.8,41104.5,40361.26666666667,39575.2,41391.76478526678,40986.08911145258,40578.32317864336,40308.640506584416,52.72904549172015,5.45809098344031,30.097771574402284,706.0257938875438,432.8053800798328,-4.208393223214502,3.7225981333863736,80.4877167504575,86.91206118268828,55.93478260869565,80.4877167504575,-302911.3367571252,43220.84313119113,39575.2,35929.55686880886,42680.0,38080.0,-44.06521739130435,85
40661.0,41610.0,40661.0,40926.0,1591200.0,41574.8,41246.0,40503.333333333336,39798.1,41236.50985684452,40975.1638184612,40621.78278131294,40367.43664881447,53.95976779084902,7.91953558169805,28.46470373760109,663.4369696237627,478.9316979886188,-1.3260680875687103,4.006360233860915,68.25997216219184,79.83858142309371,61.869565217391305,68.25997216219184,-621443.8166156037,43193.091893952034,39798.1,36403.10810604796,42680.0,38080.0,-38.130434782608695,85
