Open,High,Low,Close,Volume,SMA_5,SMA_10,SMA_15,SMA_20,EMA_5,EMA_10,EMA_15,EMA_20,RSI,CMO,CCI,MACD,9-period EMA of MACD,ROC,PPO,Slow Stoch %K,Slow Stoch %D,Fast %K,Fast %D,Chaikin A/D Oscillator,Upper Band,Middle Band (SMA),Lower Band,Highest High,lowest_low,William %R
698.5999755859375,724.1199951171875,698.5999755859375,712.8699951171875,7673620000,719.5880126953125,742.8300109863281,766.7773396809896,787.2695007324219,719.8690392219075,741.3734484275247,759.0340010666033,773.3020937037023,30.127191518765038,-39.745616962469924,-117.35645348416196,-38.236269575682854,-30.93322875484835,-6.802199978583035,-6.189367094646682,5.79506992050521,3.3502598515065483,13.980837790770513,5.79506992050521,-10711429867.652197,891.8601099441648,787.2695007324219,682.6788915206789,839.4299926757812,692.2999877929688,-86.01916220922949
708.27001953125,708.27001953125,677.9299926757812,682.5499877929688,7507250000,705.5320068359375,733.1910095214844,756.6980061848958,779.7855010986328,707.4293554122613,730.6782737666964,749.473499407399,764.6590359979182,26.259676223503543,-47.48064755299293,-136.73205522861053,-40.659228661452175,-32.87842873616911,-9.33544461584449,-6.567079593931846,6.52686999709596,4.5306577547041025,2.8606780911377707,6.52686999709596,-11154649565.048996,891.6072380894353,779.7855010986328,667.9637641078303,839.4299926757812,677.9299926757812,-97.13932190886223
684.0399780273438,699.0900268554688,666.7899780273438,683.3800048828125,7331830000,695.1900024414062,724.5240112304688,746.5773396809896,771.6620025634766,699.4129052357783,722.0785885150812,741.2118125918257,756.9181758917176,26.537698973704,-46.92460205259199,-123.70289252923975,-42.027993206822885,-34.70834163029987,-7.034515512862938,-6.808691524158596,9.256315695567771,7.192751871056317,10.927431204795012,9.256315695567771,-10258349746.594917,886.6665108755628,771.6620025634766,656.6574942513903,818.6099853515625,666.7899780273438,-89.072568795205
680.760009765625,695.27001953125,672.8800048828125,676.530029296875,7277320000,690.3320068359375,717.8440124511719,736.5566731770833,762.0585052490235,691.7852799228106,713.7970322935892,733.1265896799569,749.262161930304,25.677278072344734,-48.64544385531054,-105.98958680366727,-43.1678723907429,-36.400247782388476,-3.465936727475094,-7.128049672649482,7.078399599526574,7.620528430730105,7.447089502646925,7.078399599526574,-10519665247.549107,875.1414510640695,762.0585052490235,648.9755594339774,797.5800170898438,666.7899780273438,-92.55291049735308
679.280029296875,719.5999755859375,679.280029296875,719.5999755859375,8618330000,694.9859985351562,712.4900085449219,731.9186726888021,754.5440032958984,701.0568451438529,714.852112892198,731.4357629182044,746.4371918022691,39.05685903511638,-21.88628192976724,-48.92104508038472,-40.1332193705756,-37.1468421000259,3.3418002850638784,-7.180619269963412,19.584070499610473,11.972928598234944,40.37769079138947,19.584070499610473,-6928037929.980446,857.4852493547727,754.5440032958984,651.6027572370241,797.5800170898438,666.7899780273438,-59.62230920861053
719.5900268554688,731.9199829101562,713.8499755859375,721.3599853515625,7287810000,696.6839965820312,708.1360046386719,727.4480061848958,749.25400390625,707.8245585464227,716.0353624302643,730.1762907223742,744.0488864260113,39.53586856612871,-20.92826286774258,-7.603220234561502,-37.15788395329412,-37.14905047067954,1.1909591219334992,-6.936417792757274,31.992065237933037,19.551511779023368,48.151415419762714,31.992065237933037,-5220306421.831623,847.4913886432145,749.25400390625,651.0166191692855,780.1199951171875,666.7899780273438,-51.84858458023727
720.8900146484375,752.6300048828125,714.760009765625,750.739990234375,7326630000,710.3219970703125,707.927001953125,725.5680053710937,745.10400390625,722.1297024424068,722.3452947582845,732.7467531613743,744.6861344077603,47.02168135432514,-5.95663729134973,39.91611695792689,-32.059624943937024,-36.131165365331036,9.990477424503252,-6.770505457046208,54.20160464034452,35.25924679262935,74.07570770988136,54.20160464034452,-1948606194.157711,835.4066008449012,745.10400390625,654.8014069675988,780.1199951171875,666.7899780273438,-25.924292290118636
751.969970703125,758.2899780273438,742.4600219726562,756.5499877929688,6787090000,724.9559936523438,710.072998046875,724.6680053710937,741.1720031738281,733.6031308925941,728.5643298554998,735.7221574903235,745.8160252063516,48.382642358262125,-3.2347152834757553,73.84810725457436,-27.236435032285726,-34.35221929872198,10.70707108597706,-6.50691687531674,67.1431497611391,51.112273213138884,79.20232615377323,67.1431497611391,1251751018.8118973,821.7686605352657,741.1720031738281,660.5753458123905,780.1199951171875,666.7899780273438,-20.797673846226758
758.8400268554688,774.530029296875,753.3699951171875,753.8900146484375,7883540000,740.4279907226562,715.3799987792969,725.3720052083333,737.5245025634765,740.3654254778752,733.1689998178521,737.9931396350878,746.5849765817883,47.77750087583223,-4.4449982483355335,96.52192251066423,-23.359387403264805,-32.153652919630545,11.434819150890263,-6.0613623379430805,76.7110854037872,66.01861326842361,76.85522234770698,76.7110854037872,62084009.593257904,808.2857323570393,737.5245025634765,666.7632727699138,780.1199951171875,666.7899780273438,-23.144777652293005
753.8800048828125,778.1199951171875,749.9299926757812,778.1199951171875,6156800000,752.1319946289062,723.5589965820312,725.70400390625,736.9720031738282,752.9502820243126,741.3419080540949,743.0089965703503,749.5883116803977,53.4847074691629,6.969414938325801,115.978864081895,-18.122734694664132,-29.347469274637263,8.132298709932527,-5.157638528745515,84.96777920051093,76.27400478847908,98.84578910005257,84.96777920051093,1528739868.5862465,806.2690326533254,736.9720031738282,667.6749736943309,779.4199829101562,666.7899780273438,-1.154210899947435
