Open,High,Low,Close,SMA_5,SMA_10,SMA_15,SMA_20,EMA_5,EMA_10,EMA_15,EMA_20,TMA,bb_middle_band,bb_lower_band,Highest High,lowest_low,Ibovespa: (Brasil)
38178.0,38801.0,37324.0,38183.0,38608.0,39657.7,40306.333333333336,40103.8,38646.46193186921,39258.02935785717,39536.34861422943,39664.82168847107,39723.6075,40103.8,37431.406870237835,42756.0,37324.0,82
38180.0,38180.0,36196.0,36235.0,37909.0,39231.1,39981.4,39933.65,37842.64128791281,38708.3876564286,39123.68003745075,39338.17200385478,39741.207500000004,39933.65,36775.16781546895,42100.0,36196.0,85
36236.0,37085.0,35722.0,36468.0,37459.6,38710.5,39562.2,39792.0,37384.42752527521,38301.044446168846,38791.72003276941,39064.82228920194,39754.082500000004,39792.0,36296.59621788841,41841.0,35722.0,85
36468.0,38554.0,36468.0,38402.0,37493.6,38366.6,39315.666666666664,39778.8,37723.618350183475,38319.40000141087,38743.00502867323,39001.696356896995,39773.43,39778.8,36264.543970624785,41841.0,35722.0,85
38391.0,38391.0,36973.0,37369.0,37331.4,38118.8,39059.8,39659.9,37605.41223345565,38146.600001154344,38571.25440008908,38846.20146576395,39793.245,39659.9,35991.838991783254,41841.0,35722.0,85
37367.0,38309.0,36476.0,37105.0,37115.8,37861.9,38810.4,39508.7,37438.60815563711,37957.21818276264,38387.97260007794,38680.37275473882,39807.2275,39508.7,35684.47228188487,41841.0,35722.0,85
37103.0,37464.0,36392.0,36741.0,37217.0,37563.0,38559.73333333333,39290.3,37206.07210375807,37736.08760407852,38182.1010250682,38495.670587620836,39812.495,39290.3,35359.17242130199,41841.0,35722.0,85
36745.0,38804.0,36745.0,38795.0,37682.4,37571.0,38367.8,39092.25,37735.714735838716,37928.617130609695,38258.713396934676,38524.17815070457,39804.927500000005,39092.25,35494.51210654527,39847.0,35722.0,85
38795.0,39310.0,38238.0,38805.0,37763.0,37628.3,38165.4,38927.5,38092.143157225815,38087.95947049884,38326.99922231784,38550.9230887327,39782.38,38927.5,35604.49861570897,39730.0,35722.0,85
38806.0,39304.0,38286.0,39152.0,38119.6,37725.5,38119.066666666666,38824.75,38445.42877148388,38281.421384953595,38430.12431952811,38608.1685088534,39750.5375,38824.75,35667.06667990596,39730.0,35722.0,85
