Open,High,Low,Close,SMA_5,SMA_10,SMA_15,SMA_20,EMA_5,EMA_10,EMA_15,EMA_20,TMA,bb_middle_band,bb_lower_band,Highest High,lowest_low,GoogleTrends
41977.0,44286.0,41977.0,43736.0,41839.6,41757.7,41.020.333.333.333.300,40295.15,4.223.400.438.082.030,416.260.062.685.033,4.115.830.561.447.750,4.082.346.262.962.030,39.073.915,40295.15,3.668.712.121.546.960,43736.0,38080.0,88
43738.0,44610.0,43520.0,44391.0,42336.4,42189.2,4.137.873.333.333.330,40659.45,4.295.300.292.054.690,421.287.324.015.027,4.156.239.241.266.780,41.163.228.093.466,391.314.525,40659.45,3.694.369.976.754.360,44391.0,38080.0,88
44385.0,44385.0,43429.0,44167.0,43039.2,42362.0,41749.4,41030.75,4.335.766.861.369.790,4.249.932.651.032.030,4.188.796.836.108.430,4.144.930.160.837.390,39.218.475,41030.75,3.747.475.838.724.270,44391.0,38850.0,88
44163.0,44471.0,43593.0,43825.0,43619.0,42596.9,42037.0,41282.25,435.134.457.424.653,427.403.580.538.985,4.213.009.731.594.880,4.167.555.859.805.260,39.327.975,41282.25,3.768.309.477.272.790,44391.0,40076.0,88
43828.0,44390.0,43706.0,44182.0,44060.2,42835.2,42.306.333.333.333.300,41551.1,4.373.629.716.164.350,430.024.747.713.715,42.386.585.151.455.200,4.191.426.730.300.000,39.459.155,41551.1,3.792.906.278.870.580,44391.0,40076.0,88
44183.0,45702.0,44183.0,45539.0,44420.8,43130.2,42645.4,41870.45,4.433.719.810.776.230,4.346.366.117.657.660,4.278.063.700.752.330,4.225.947.994.080.950,39611.44,41870.45,380.310.816.938.851,45539.0,40077.0,88
45536.0,46179.0,45226.0,45992.0,44741.0,43538.7,43039.8,42219.3,44.888.798.738.508.200,4.392.335.914.447.180,4.318.205.738.158.290,4.261.495.804.168.480,39.785.745,42219.3,3.821.671.587.970.970,45992.0,40256.0,88
45989.0,46591.0,45284.0,45418.0,44991.2,44015.2,43238.4,42559.85,450.651.991.590.055,4.419.511.202.729.510,4.346.155.020.888.500,4.288.191.441.866.720,399.818.125,42559.85,3.868.772.183.709.010,45992.0,40256.0,88
45420.0,45453.0,44811.0,45273.0,45280.8,44449.9,4.349.153.333.333.330,42847.95,4.513.446.610.600.360,4.439.109.165.869.600,4.368.798.143.277.440,4.310.963.685.498.460,401.976.925,42847.95,3.906.978.782.904.970,45992.0,40256.0,88
45277.0,46211.0,45277.0,46025.0,45649.4,44854.8,4.377.326.666.666.660,43142.1,4.543.131.073.733.570,4.468.816.590.256.940,4.398.010.875.367.760,4.338.729.048.784.320,404.325.275,43142.1,3.933.648.457.539.390,46025.0,40256.0,88
