Open,High,Low,Close,SMA_5,SMA_10,SMA_15,SMA_20,EMA_5,EMA_10,EMA_15,EMA_20,TMA,bb_middle_band,bb_lower_band,Highest High,lowest_low,Google_Trends
0.046242161839355034,0.04168565467067964,0.039828513973969915,0.04635345712419525,0.03855010905751344,0.05098527449392065,0.05589272636573017,0.04352226327832531,0.03775163928636194,0.03992983811078621,0.03707859827177207,0.03370077986594666,0.024244930485013083,0.04352226327832531,0.05137485618603599,0.08112970711297074,0.04212931950823284,0.7904878048780488
0.04627948641385482,0.030218992927968702,0.018825665183309415,0.010000000000000009,0.02517621398232117,0.04263834266640054,0.04942627126739341,0.04008291625902538,0.022264623114314985,0.029120825806701056,0.028827162788770955,0.027079007656399368,0.024607407390625946,0.04008291625902538,0.03827218986916903,0.06818267940317357,0.019506427869477094,0.8270731707317074
0.010000000000000009,0.010000000000000009,0.010000000000000009,0.014348231781282084,0.016577890024107478,0.03245219004238031,0.04108382775932151,0.037219657338755874,0.013436330378145955,0.021110193134108446,0.022189520099940907,0.021537720983791475,0.02487257160424905,0.037219657338755874,0.028716885432074735,0.0630709718165311,0.010000000000000009,0.8270731707317074
0.01432965064198266,0.03712484074080913,0.023890181912972208,0.050440421759820886,0.01722840852561891,0.025723381192206296,0.03617760064531861,0.03695283758762602,0.019971437221021793,0.02147116542195271,0.02121544856657742,0.02025804564986422,0.025271038759439257,0.03695283758762602,0.028076920624206414,0.0630709718165311,0.010000000000000009,0.8270731707317074
0.05021722902358905,0.03411507284376902,0.03329305304708885,0.03116263879817116,0.014125052615467037,0.02087488211377342,0.031085632104609573,0.03454943846570557,0.017693988818616613,0.018072956508647597,0.017781241770436718,0.01710588663265611,0.02567913420743473,0.03454943846570557,0.022632011006677888,0.0630709718165311,0.010000000000000009,0.8270731707317074
0.03110704687966548,0.0326009564783869,0.02403913828737403,0.026235886908649864,0.010000000000000009,0.015848330809296263,0.026122355838118394,0.03149313949821697,0.014480215360368254,0.014348656842437135,0.014116465644748555,0.013744242639332938,0.02596710769224908,0.03149313949821697,0.016495034843121092,0.0630709718165311,0.010000000000000009,0.8270731707317074
0.026180203045685246,0.016998171981461252,0.022475096356154634,0.019442941121582513,0.011936249186851877,0.010000000000000009,0.02113387180657411,0.027078485434067212,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.026075593322948842,0.027078485434067212,0.010000000000000009,0.0630709718165311,0.010000000000000009,0.8270731707317074
0.01949910421021195,0.041741049171852174,0.029047796376636126,0.05777456377717649,0.02084069949871814,0.010156529429489303,0.01731423203880411,0.02307517848624252,0.02020449533127877,0.013786201112044982,0.011531888007055624,0.010577899192560025,0.025919738551174798,0.02307517848624252,0.012702232855978046,0.02371674429620274,0.010000000000000009,0.8270731707317074
0.05775679307255899,0.051084255036283444,0.056846779749380905,0.05796118316693111,0.02238281100524242,0.011277671468206907,0.013286296528227437,0.019744985001495685,0.027071714738620134,0.01691975758701214,0.01289728414879976,0.011120066828780972,0.025455366504054888,0.019744985001495685,0.0148982565739455,0.02140759453698582,0.010000000000000009,0.8270731707317074
0.057962078232308145,0.050973466033938375,0.05774051799579194,0.06443687599141557,0.029205602112271856,0.013179504036502587,0.012364223017077514,0.017668035802359205,0.033878382448018995,0.020724294630468543,0.014959302277127273,0.012280533683431072,0.02479956134115835,0.017668035802359205,0.01614750935966114,0.02140759453698582,0.010000000000000009,0.8270731707317074
0.06441922962078228,0.05841479402477978,0.06321466475505988,0.06188019035177761,0.03651436880572456,0.014807410103191976,0.011489911587080792,0.015817479119332956,0.037536312399384375,0.02334724642398678,0.016421148482096082,0.01306598135585646,0.023902019094191762,0.015817479119332956,0.017044867734145264,0.010000000000000009,0.010000000000000009,0.8270731707317074
0.06191848312929227,0.05852558302712485,0.06111065596663379,0.05426611924979008,0.043654766004668444,0.019448507687551575,0.010000000000000009,0.013903249541150853,0.037354653558206774,0.024034470834834454,0.016680503180161455,0.012988920838447826,0.02283744913674124,0.013903249541150853,0.017368010955333024,0.010000000000000009,0.010000000000000009,0.8270731707317074
0.05426694535682286,0.05479568661484202,0.05390489135494436,0.0711365120836055,0.04639459686985803,0.025402495861753138,0.011056072683273799,0.011717146807461165,0.043039263456034815,0.02782904843894063,0.019166908396554883,0.014664503582741628,0.021541439734584444,0.011717146807461165,0.02151003997690093,0.017085339859477355,0.010000000000000009,0.8270731707317074
0.07106300388175568,0.07399911368798118,0.06824194239112213,0.08291219557712048,0.05151073355527502,0.02880701095314675,0.01359011643333985,0.010000000000000009,0.05088144438871456,0.033189879000877776,0.022919642915406935,0.017398744770259156,0.02000281794901182,0.010000000000000009,0.02683623529441248,0.029538959501065776,0.010000000000000009,0.8270731707317074
0.08296954314720806,0.08481950625034618,0.09237287504422143,0.08871605859848841,0.05648911338154816,0.03484122045996163,0.01660576116836654,0.010612472610548096,0.05810688537697817,0.03868801117199672,0.026980603235649436,0.02047301300335802,0.018362815903900764,0.010612472610548096,0.025654160418162375,0.035676955869582416,0.010000000000000009,0.8270731707317074
0.08869886533293514,0.08326846021751577,0.09106950676820524,0.0816805076047401,0.06054911414686415,0.04065433214762282,0.019117250602332936,0.011018766322496099,0.06050265703851554,0.04183849814363805,0.02959166460484841,0.022526640168283096,0.016685278963307848,0.011018766322496099,0.025108980646237122,0.035676955869582416,0.010000000000000009,0.8270731707317074
