Open,High,Low,Close,Volume,SMA_5,SMA_10,SMA_15,SMA_20,EMA_5,EMA_10,EMA_15,EMA_20,RSI,CMO,CCI,MACD,ema_sinal,ROC,PPO,TMA,Slow_Stochastic_%K,Slow_Stochastic_%D,Fast_Stochastic_%K,Fast_Stochastic_%D,Chaikin_Oscillator,bb_high_band,bb_middle_band,bb_lower_band,Highest High,lowest_low,wr,mes,ano,Mês,Ibovespa: (Brasil)
38178.0,38801.0,37324.0,38183.0,1654000.0,38608.0,39657.7,40306.333333333336,40103.8,38646.46193186921,39258.02935785717,39536.34861422943,39664.82168847107,39.87180934431245,-32.44621867376358,-128.316230743513,-348.24422662345023,125.24462297514286,-7.117662798900485,-0.8761783213389825,39723.6075,14.042831453326793,10.62027448305023,14.042831453326793,10.62027448305023,-1.1740530628873467,0.0,40103.8,37431.406870237835,42756.0,37324.0,-85.9571685466732,2,2009,2009-02-01,82
38180.0,38180.0,36196.0,36235.0,1728000.0,37909.0,39231.1,39981.4,39933.65,37842.64128791281,38708.3876564286,39123.68003745075,39338.17200385478,31.874073654919414,-69.97531924026183,-172.54346543193074,-574.7333148386606,75.74234818531558,-15.2516605856488,-1.4555459350900972,39741.207500000004,0.5383022774327122,7.679239925217492,0.5383022774327122,7.679239925217492,-3.1268521285726103,0.0,39933.65,36775.16781546895,42100.0,36196.0,-99.4616977225673,3,2009,2009-03-01,85
36236.0,37085.0,35722.0,36468.0,1731400.0,37459.6,38710.5,39562.2,39792.0,37384.42752527521,38301.044446168846,38791.72003276941,39064.82228920194,33.589952215949765,-63.309352517985616,-166.04983962496908,-727.0454686843295,11.94937964504031,-13.377672209026128,-1.8517686925352888,39754.082500000004,10.511483725517824,8.364205818759105,10.511483725517824,8.364205818759105,-18.530905803883083,0.0,39792.0,36296.59621788841,41841.0,35722.0,-89.48851627448218,3,2009,2009-03-01,85
36468.0,38554.0,36468.0,38402.0,1796200.0,37493.6,38366.6,39315.666666666664,39778.8,37723.618350183475,38319.40000141087,38743.00502867323,39001.696356896995,45.79406469951834,-28.227835362785548,-93.35173497023212,-683.813732025701,-56.70864468756552,-6.807095881767661,-1.744489604340605,39773.43,42.47226624405705,17.84068408233586,42.47226624405705,17.84068408233586,67.95058712952613,0.0,39778.8,36264.543970624785,41841.0,35722.0,-57.52773375594295,3,2009,2009-03-01,85
38391.0,38391.0,36973.0,37369.0,1354600.0,37331.4,38118.8,39059.8,39659.9,37605.41223345565,38146.600001154344,38571.25440008908,38846.20146576395,41.41611924222654,-32.774059760580634,-93.15703842958713,-724.5545225977039,-127.3636153768388,-8.512461440532732,-1.8548367796172343,39793.245,26.916162771694722,26.633304247089864,26.916162771694722,26.633304247089864,4.081720594809935,0.0,39659.9,35991.838991783254,41841.0,35722.0,-73.08383722830528,3,2009,2009-03-01,85
37367.0,38309.0,36476.0,37105.0,1481200.0,37115.8,37861.9,38810.4,39508.7,37438.60815563711,37957.21818276264,38387.97260007794,38680.37275473882,40.35432699318737,-32.256838905775076,-92.36892559844051,-769.2767428738007,-198.25932171785217,-8.384978148687686,-1.9766633401202243,39807.2275,22.60173230920085,30.663387108317536,22.60173230920085,30.663387108317536,1.8846188295645518,0.0,39508.7,35684.47228188487,41841.0,35722.0,-77.39826769079914,3,2009,2009-03-01,85
37103.0,37464.0,36392.0,36741.0,1067400.0,37217.0,37563.0,38559.73333333333,39290.3,37206.07210375807,37736.08760407852,38182.1010250682,38495.670587620836,38.87447978049227,-50.756250643070274,-97.38942242662004,-824.5858699519522,-268.68563570546473,-11.837116667466525,-2.1275962486271576,39812.495,16.65304788364112,22.056980988178893,16.65304788364112,22.056980988178893,1.2408817248244872,0.0,39290.3,35359.17242130199,41841.0,35722.0,-83.34695211635888,3,2009,2009-03-01,85
36745.0,38804.0,36745.0,38795.0,1788200.0,37682.4,37571.0,38367.8,39092.25,37735.714735838716,37928.617130609695,38258.713396934676,38524.17815070457,50.01384075148645,-26.245045666034816,-43.67128748754181,-694.670389800056,-330.79786682132044,-7.279940727994074,-1.792257128608912,39804.927500000005,50.245258338783515,29.833346177208494,50.245258338783515,29.833346177208494,0.4346817070642897,0.0,39092.25,35494.51210654527,39847.0,35722.0,-49.75474166121648,3,2009,2009-03-01,85
38795.0,39310.0,38238.0,38805.0,1401200.0,37763.0,37628.3,38165.4,38927.5,38092.143157225815,38087.95947049884,38326.99922231784,38550.9230887327,50.061555974704284,-10.82934940760756,-9.653343202565887,-584.1705647260678,-380.684602651658,-2.615002384119256,-1.507035416036201,39782.38,65.42869269949067,44.10899964063842,65.42869269949067,44.10899964063842,-0.07066642972518125,0.0,38927.5,35604.49861570897,39730.0,35722.0,-34.57130730050934,3,2009,2009-03-01,85
38806.0,39304.0,38286.0,39152.0,1631800.0,38119.6,37725.5,38119.066666666666,38824.75,38445.42877148388,38281.421384953595,38430.12431952811,38608.1685088534,51.78157928064722,-5.328705594120047,3.0507553753892567,-463.2585016085359,-415.91506954134917,-1.3157231436205072,-1.1942201168316502,39750.5375,72.80832095096582,62.82742399641333,72.80832095096582,62.82742399641333,-2.218643676161642,0.0,38824.75,35667.06667990596,39730.0,35722.0,-27.191679049034175,3,2009,2009-03-01,85
